N,E
49,0.489353
49,0.501721
49,0.510632
51,0.495141
50,0.483277
49,0.492751
51,0.495742
50,0.491584
50,0.469067
50,0.481132
50,0.488875
50,0.494195
50,0.514463
50,0.532662
50,0.549697
50,0.530254
51,0.533539
51,0.526365
49,0.499108
49,0.550899
49,0.558929
49,0.578432
50,0.584127
50,0.556956
50,0.574190
50,0.573294
50,0.561003
50,0.558007
49,0.543981
50,0.531199
50,0.546378
51,0.534470
50,0.499410
49,0.500340
52,0.587921
50,0.535058
51,0.576820
50,0.528375
51,0.519874
50,0.508427
50,0.534958
50,0.579716
50,0.595196
50,0.596886
50,0.600914
50,0.597273
50,0.613475
51,0.603727
51,0.639876
49,0.590938
50,0.594919
50,0.573843
50,0.585898
50,0.594617
52,0.561665
49,0.524805
51,0.528288
50,0.490411
48,0.421800
50,0.429593
50,0.430415
50,0.429433
50,0.446766
50,0.450729
49,0.416560
49,0.401881
50,0.452419
50,0.414539
50,0.422983
50,0.430696
49,0.403612
50,0.444945
50,0.408713
50,0.427220
50,0.411910
50,0.406926
50,0.406262
50,0.420282
50,0.427661
50,0.456714
51,0.467888
50,0.474090
50,0.492001
50,0.491358
50,0.473941
50,0.496643
50,0.519418
51,0.504940
50,0.480975
50,0.498706
49,0.467092
49,0.453154
49,0.461534
49,0.466915
49,0.478423
52,0.564065
49,0.459350
51,0.572424
48,0.495251
48,0.532564
54,0.615539
50,0.531311
50,0.566292
50,0.572229
50,0.535060
49,0.500384
50,0.538035
50,0.544566
50,0.555948
50,0.560335
50,0.569714
50,0.581600
50,0.580240
49,0.545797
49,0.531874
51,0.575836
51,0.543785
48,0.508542
51,0.570486
50,0.481725
51,0.518403
50,0.467656
49,0.422743
51,0.449857
50,0.468163
50,0.432615
50,0.439954
49,0.423618
50,0.470255
50,0.446486
50,0.477700
50,0.498174
50,0.495283
50,0.480508
50,0.500945
50,0.494701
49,0.503523
49,0.506836
52,0.564266
52,0.549790
46,0.457568
49,0.512345
50,0.537075
50,0.524400
50,0.542200
50,0.523084
49,0.475389
51,0.498350
49,0.465029
49,0.516263
49,0.552295
50,0.562519
50,0.532099
50,0.528191
50,0.535882
50,0.542999
49,0.536007
51,0.578050
51,0.532666
51,0.520011
51,0.536825
50,0.540161
50,0.539400
51,0.562726
50,0.494516
50,0.480754
50,0.494849
50,0.484688
50,0.472172
49,0.450104
49,0.455734
52,0.439614
50,0.393382
49,0.383347
49,0.400024
52,0.411151
51,0.405833
49,0.401296
52,0.462078
51,0.411192
50,0.440504
50,0.436590
50,0.425594
50,0.389745
50,0.391340
50,0.382571
50,0.376384
50,0.382107
50,0.391837
50,0.377816
51,0.375912
51,0.377291
51,0.388182
50,0.415839
50,0.430137
50,0.443218
50,0.462091
50,0.456730
50,0.448076
50,0.461065
50,0.461354
51,0.430199
51,0.444267
51,0.462000
51,0.459174
50,0.438372
50,0.461230
50,0.478222
50,0.488868
50,0.505287
50,0.520089
50,0.515670
50,0.512437
50,0.520467
50,0.531822
50,0.537327
50,0.543728
50,0.537588
50,0.535418
50,0.527723
50,0.540928
50,0.541422
50,0.540695
50,0.570053
50,0.586896
50,0.570276
50,0.569070
50,0.580587
50,0.570585
51,0.590926
49,0.555735
49,0.562786
52,0.582163
49,0.526295
49,0.572317
50,0.553235
50,0.522234
50,0.527649
50,0.511401
50,0.490955
50,0.496974
