N,E
48,0.645303
47,0.564611
48,0.565701
48,0.560041
48,0.560169
49,0.567241
49,0.559956
48,0.511460
48,0.524796
48,0.551562
48,0.544354
48,0.538180
48,0.534921
48,0.521117
49,0.527964
49,0.565373
49,0.565216
50,0.572055
50,0.554097
50,0.579069
51,0.561871
51,0.568894
52,0.585888
52,0.578411
51,0.556237
51,0.561914
51,0.579736
51,0.606511
50,0.505463
50,0.547506
51,0.561382
51,0.559902
51,0.564605
51,0.586812
52,0.592666
52,0.588357
52,0.590999
54,0.573655
54,0.551808
54,0.549491
54,0.539718
54,0.556831
55,0.529542
55,0.534552
55,0.542772
55,0.576547
56,0.560727
56,0.575768
56,0.575116
56,0.593141
56,0.583271
56,0.602838
56,0.605763
56,0.625142
56,0.644079
56,0.650488
56,0.632423
56,0.645120
56,0.654949
56,0.666420
58,0.653008
58,0.665002
59,0.689413
59,0.702534
59,0.713296
60,0.724916
60,0.738845
59,0.720370
59,0.711972
58,0.613899
58,0.628794
58,0.630290
58,0.623109
59,0.650047
59,0.651820
60,0.644708
59,0.561645
59,0.604514
58,0.533968
58,0.549303
57,0.497462
57,0.533295
57,0.536946
58,0.554073
58,0.557001
58,0.576679
59,0.547569
59,0.536539
59,0.544798
59,0.485356
61,0.486975
61,0.505844
61,0.522069
61,0.516926
61,0.524557
62,0.535307
62,0.535070
61,0.465545
60,0.380623
61,0.419409
61,0.429767
61,0.420173
61,0.410694
61,0.439571
61,0.443514
61,0.459498
61,0.457690
61,0.446232
61,0.455082
62,0.441974
62,0.438708
62,0.438974
61,0.427760
61,0.437121
60,0.420604
60,0.415308
59,0.341761
59,0.402284
60,0.387435
60,0.403953
60,0.415638
60,0.413846
60,0.415354
60,0.405365
60,0.406928
61,0.423847
61,0.421652
61,0.417220
61,0.414811
61,0.401523
60,0.386665
60,0.396414
60,0.406524
60,0.413161
59,0.359478
59,0.362895
59,0.366100
59,0.370677
58,0.350836
58,0.359219
57,0.350922
57,0.347037
57,0.354120
57,0.354380
57,0.356007
56,0.328735
56,0.335890
56,0.338675
56,0.342198
56,0.348759
56,0.342949
56,0.336912
56,0.339700
56,0.350586
57,0.352652
57,0.382292
57,0.390611
57,0.386833
57,0.397480
57,0.388396
57,0.393246
57,0.390979
58,0.401393
59,0.394262
59,0.410333
59,0.398549
59,0.392090
59,0.378879
59,0.388550
59,0.396147
59,0.408365
59,0.421608
59,0.417063
59,0.422925
59,0.431195
59,0.447818
60,0.445135
58,0.386136
58,0.404567
58,0.415714
58,0.434916
58,0.421412
58,0.409550
58,0.412912
58,0.410338
58,0.406016
58,0.398352
57,0.389039
57,0.422216
57,0.420716
57,0.433341
57,0.450607
57,0.446611
57,0.442350
57,0.443360
57,0.442768
57,0.460195
57,0.456823
57,0.461207
57,0.469321
56,0.458840
56,0.480732
57,0.477219
57,0.461216
57,0.483655
57,0.468218
58,0.472613
58,0.492335
58,0.487315
58,0.485532
58,0.479777
58,0.492162
58,0.488656
58,0.502273
58,0.504844
58,0.526479
58,0.526613
58,0.517191
58,0.519982
58,0.503153
58,0.517341
58,0.514393
58,0.496903
58,0.480721
58,0.506634
58,0.503579
58,0.500086
58,0.483242
58,0.470623
58,0.463150
58,0.473362
58,0.433103
58,0.464674
58,0.464183
58,0.481501
58,0.480376
57,0.466659
57,0.466596
57,0.463075
57,0.466254
57,0.446489
56,0.443030
56,0.458321
56,0.475828
56,0.479009
56,0.472884
56,0.468730
56,0.456418
56,0.467501
57,0.467717
57,0.458421
57,0.464022
57,0.450977
58,0.449402
58,0.449323
58,0.457887
58,0.463421
58,0.480243
58,0.497615
58,0.493221
57,0.464664
56,0.400060
56,0.429995
56,0.446279
56,0.476341
56,0.502395
56,0.513806
55,0.509834
55,0.515015
55,0.525849
55,0.521719
55,0.518276
55,0.545655
56,0.541804
